Campus  4 :  inf					      |	Campus 4: 687
Campus  5 :  inf					      |	Campus 5: 1782
Campus  9 :  inf					      |	Campus 9: 3021
Campus  14 :  inf					      |	Campus 14: 622
Campus  15 :  inf					      |	Campus 15: 836
Campus  17 :  inf					      |	Campus 17: 639
Campus  20 :  inf					      |	Campus 20: 398
Campus  24 :  inf					      |	Campus 24: 851
Campus  25 :  inf					      |	Campus 25: 2692
Campus  26 :  inf					      |	Campus 26: 1351
Campus  27 :  inf					      |	Campus 27: 504
Campus  28 :  inf					      |	Campus 28: 450
Campus  31 :  inf					      |	Campus 31: 5023
Campus  32 :  inf					      |	Campus 32: 1091
Campus  33 :  inf					      |	Campus 33: 1220
Campus  34 :  inf					      |	Campus 34: 496
Campus  37 :  inf					      |	Campus 37: 2982
Campus  43 :  inf					      |	Campus 43: 1732
Campus  44 :  inf					      |	Campus 44: 708
Campus  45 :  inf					      |	Campus 45: 688
Campus  47 :  inf					      |	Campus 47: 522
Campus  48 :  inf					      |	Campus 48: 359
Campus  50 :  inf					      |	Campus 50: 2073
Campus  51 :  inf					      |	Campus 51: 1525
Campus  52 :  inf					      |	Campus 52: 2044
Campus  53 :  inf					      |	Campus 53: 1079
Campus  58 :  inf					      |	Campus 58: 1208
Campus  60 :  inf					      |	Campus 60: 327
Campus  63 :  inf					      |	Campus 63: 752
Campus  66 :  inf					      |	Campus 66: 508
Campus  70 :  inf					      |	Campus 70: 1146
Campus  71 :  inf					      |	Campus 71: 559
Campus  72 :  inf					      |	Campus 72: 445
Campus  73 :  inf					      |	Campus 73: 1335
Campus  77 :  inf					      |	Campus 77: 290
Campus  79 :  inf					      |	Campus 79: 1956
Campus  80 :  inf					      |	Campus 80: 704
Campus  81 :  inf					      |	Campus 81: 761
Campus  82 :  inf					      |	Campus 82: 346
Campus  83 :  inf					      |	Campus 83: 1999
Campus  85 :  inf					      |	Campus 85: 425
Campus  86 :  inf					      |	Campus 86: 961
Campus  87 :  inf					      |	Campus 87: 1027
Campus  88 :  inf					      |	Campus 88: 292
Campus  89 :  inf					      |	Campus 89: 692
Campus  90 :  inf					      |	Campus 90: 780
Campus  91 :  inf					      |	Campus 91: 1627
Campus  94 :  inf					      |	Campus 94: 1276
Campus  95 :  inf					      |	Campus 95: 453
Campus  96 :  inf					      |	Campus 96: 1108
Campus  97 :  inf					      |	Campus 97: 522
Campus  99 :  inf					      |	Campus 99: 941
